Genome	B109_23_EFNP_N1 Relative Abundance (%)	B111F_22_EFNP_N1 Relative Abundance (%)	B11_23_RUNR Relative Abundance (%)	B120_23_EFNP_TC Relative Abundance (%)	B163F_22_EFNP_N1 Relative Abundance (%)	B184F_22_EFNP_BB Relative Abundance (%)	B18F_22_EFNP_N1 Relative Abundance (%)	B19_1_23_RUNR Relative Abundance (%)	B19_2_23_RUNR Relative Abundance (%)	B201_23_EFNP_BB Relative Abundance (%)	B2_1_23_RUNR Relative Abundance (%)	B218_23_EFNP_N96 Relative Abundance (%)	B220_23_EFNP_FF Relative Abundance (%)	B246F_22_EFNP_N1 Relative Abundance (%)	B250F_22_EFNP_CV Relative Abundance (%)	B29F_22_EFNP_BB Relative Abundance (%)	B31_23_EFNP_N31 Relative Abundance (%)	B328_23_EFNP_CC Relative Abundance (%)	B33_23_RUNR Relative Abundance (%)	B357_23_EFNP_TE Relative Abundance (%)	B361_23_EFNP_N88 Relative Abundance (%)	B362F_22_EFNP_WH Relative Abundance (%)	B363_23_EFNP_WH Relative Abundance (%)	B369F_22_EFNP_CV Relative Abundance (%)	B382_23_EFNP_CC Relative Abundance (%)	B39_23_RUNR Relative Abundance (%)	B407_23_EFNP_DW Relative Abundance (%)	B441_23_EFNP_RE Relative Abundance (%)	B458_23_EFNP_N1 Relative Abundance (%)	B461F_22_EFNP_BB Relative Abundance (%)	B462_23_EFNP_CV Relative Abundance (%)	B466F_22_EFNP_N1 Relative Abundance (%)	B478_23_EFNP_NB Relative Abundance (%)	B523F_22_EFNP_DW Relative Abundance (%)	B534F_22_EFNP_CC Relative Abundance (%)	B6_23_RUNR Relative Abundance (%)	B63_23_RUNR Relative Abundance (%)	B83F_22_EFNP_WH Relative Abundance (%)	EHI01172 Relative Abundance (%)	EHI01174 Relative Abundance (%)	EHI01175 Relative Abundance (%)	EHI01176 Relative Abundance (%)	EHI01177 Relative Abundance (%)	EHI01178 Relative Abundance (%)	EHI01179 Relative Abundance (%)	EHI01180 Relative Abundance (%)	EHI02781 Relative Abundance (%)	EHI02786 Relative Abundance (%)	EHI02790 Relative Abundance (%)	EHI02800 Relative Abundance (%)	EHI02805 Relative Abundance (%)	EHI02809 Relative Abundance (%)	EHI02814 Relative Abundance (%)	EHI02816 Relative Abundance (%)	FS1_1_23_RUNR Relative Abundance (%)	FS11F_22_EFNP_N1 Relative Abundance (%)	No_69_road_23_EFNP_N69 Relative Abundance (%)
EHA04746_bin.20	0.015803583	0.0077009485	0.003058446	0.008297229	0.010678289	0.008899012	0.009524495	0.0078527	0.0008076515	0.018027771	0.008330331	0.013528041	0.010776236	0.0144340545	0.007187482	0.011570703	0.012900936	0.013479871	0.008150426	0.010910851	0.016301217	0.009116154	0.009418615	0.003309072	0.0063926857	0.008962995	0.012328742	0.016687918	0.013481118	0.011121697	0.0145858135	0.011512553	0.0012574304	0.008217982	0.011678102	0.008557427	0.013612415	0.010141724	0.021621464	0.051350165	0.03132759	0.02492783	0.04336337	0.045898397	0.1266275	0.053588115	0.92490166	0.9933455	1.0822446	1.018255	1.1369076	0.956809	1.2179552	1.0449055	0.0034132043	0.012315445	0.009792235
EHA04747_bin.16	0.00029977248	0.00019461542	0.000034993536	0.00015105071	0.00001713296	0.0006436248	0.00012243926	0.00050399854	0	0.00031445496	0.000028152625	0.00039734857	0.00003896661	0.00093308144	0.0008802808	0.0002585322	0.00014804864	0.00007253042	0.00018221418	0.00010977049	0.000083637125	0.00094560964	0.00042635365	0.000035838875	0.00061165926	0.00037035387	0.000081567385	0.0004123454	0.00003726626	0.00045158374	0.0001641692	0.00004231551	0.000023272767	0.00064569875	0.00069693977	0.0002159782	0.00004837811	0.00196746	0.000010181491	0.000037451653	0.00004335988	0.00001959661	0.0000274356	0.0000069184366	0.000023623546	0.000005944589	0.84805626	0.7255143	0.44609612	0.5468439	1.0698313	0.5745951	0.9422975	0.4124381	0.00023885368	0.00017403992	0.000007657346
EHA04747_bin.21	0.001792689	0.000053612763	0.0006036854	0.00040242652	0.0016568053	0.0017387392	0.0017407672	0.0017643562	0.00034321635	0.0011853633	0.00023917986	0.00025085878	0.0027072083	0.00036011578	0.0019117559	0.0017537575	0.0007899271	0.0014849013	0.0010899687	0.00053246424	0.00020864049	0.00059922546	0.000569761	0.0008035841	0.00020078625	0.001530301	0.000100030025	0.00027564706	0.0006381905	0.0007421879	0.00012393399	0.00013358465	0.0002413141	0.0021027098	0.0008007229	0.0048321555	0.0016935957	0.00036395184	0.0001380343	0.000096850905	0.0005920088	0.00022504349	0.00007253454	0.00011419155	0.0002195909	0.00015986379	0.20697585	0.21356048	0.11776579	0.15908541	0.3009365	0.18006738	0.12951145	0.1987681	0.0007152522	0.00014782137	0.00019713957
EHA04747_bin.24	0.0008696952	0.00033034876	0.00007130845	0.000087994704	0.00015344622	0.00018654024	0.00018566081	0.00033173955	0.000048305046	0.00019363123	0.000044015433	0.0006851221	0.00014826679	0.0003453806	0.0001887675	0.00028140398	0.00007502737	0.00037939183	0.0005085044	0.00033567843	0.00027280013	0.00032319652	0.00023035811	0.0000023915957	0.00018387107	0.00016917613	0.0005001279	0.00019804775	0.00027139575	0.0004173673	0.00009014097	0.00007465452	0.00007856209	0.00047540074	0.00018955841	0.00032942646	0.00012379614	0.00022710368	0.00012853877	0.0000048016104	0.000409575	0.000100659556	0.00016494762	0.00018509424	0.00012825023	0.0002499452	5.4076953	5.3715353	5.609903	4.705849	6.0131755	4.4721894	5.351974	4.4192047	0.00013679976	0.00022932702	0.00007260499
EHA04747_bin.2	0.0019963218	0.0033597911	0.0010932499	0.0072285444	0.0015297601	0.0035491798	0.003263905	0.0022683959	0.0004207987	0.0030572158	0.0016875955	0.0042500854	0.0036632682	0.0033433323	0.002625112	0.0021071637	0.0038756817	0.0029455188	0.0032971008	0.0026708748	0.0017965753	0.0042655566	0.0026366967	0.008501866	0.00440158	0.0035143078	0.0036196227	0.0039332835	0.007325367	0.0048414776	0.0071222167	0.001557148	0.00034815475	0.003038839	0.0011839026	0.0021134438	0.0021631739	0.0032160932	0.006778517	0.0031087834	0.006165157	0.0043992815	0.00514069	0.002471392	0.00293399	0.0024493872	0.41155258	0.40290233	0.32016134	0.35681832	0.4479244	0.4371068	0.3082366	0.40818194	0.0005288992	0.0047856593	0.0050623273
EHA04747_bin.30	0.00044130423	0.00048665152	0.00020955267	0.000621505	0.00078022265	0.0005069039	0.0008576957	0.00030859976	0.000120989396	0.0008551018	0.0002756295	0.00083829835	0.0010621004	0.00064119615	0.0011073843	0.0007905594	0.00039131576	0.00073231646	0.00052110717	0.00073198136	0.0006471036	0.0005856993	0.000458195	0.0003829096	0.00051033613	0.0003492577	0.00077391654	0.0006158538	0.0009974593	0.0005287016	0.00077417423	0.00095317164	0.000040940104	0.00071243057	0.0005068771	0.0006951727	0.00048844866	0.0006985339	0.0002652654	0.0002756284	0.00040886318	0.00038539426	0.0005489388	0.00047009153	0.0006525162	0.0006333218	0.46111247	0.62752366	0.57487035	0.6466979	0.3955887	0.53226054	0.31947088	1.1641623	0.0003640371	0.0006545494	0.0003778999
EHA04747_bin.37	0.00041657343	0.0005420444	0.00025189042	0.0011398951	0.0005307672	0.0006040962	0.00084911304	0.00047050303	0.00016019169	0.000941823	0.00021899618	0.0012410567	0.0009114701	0.0007648255	0.0011240774	0.00073554594	0.0006003351	0.00065587345	0.00033127525	0.00036049137	0.00032973537	0.0010309526	0.0008130883	0.0007351821	0.0010468968	0.00066144456	0.0006038435	0.0004320556	0.00074836204	0.0008467139	0.0011813096	0.00030503795	0.00008031519	0.0014713602	0.0051663388	0.0010641273	0.00040934733	0.000657288	0.0007452055	0.0021567272	0.003158934	0.0017416412	0.0008801808	0.0007648153	0.00030634177	0.00076995074	0.3146217	0.34039888	0.28524944	0.38036993	0.34210977	0.5014696	0.2791357	0.41471058	0.00019363785	0.0010687325	0.00070374104
EHA04747_bin.43	0.00017863793	0.000573476	0.00005134543	0.0008969952	0.0003313928	0.0009300296	0.00044431203	0.0003907811	0.000038847356	0.0005189743	0.000025861485	0.00017463196	0.000046308796	0.0009836813	0.0005013054	0.0010478763	0.00030272038	0.0006366314	0.0011095003	0.000020029875	0.0006217839	0.00064570963	0.000110543915	0.0001301342	0.00022164508	0.00015659023	0.0005997458	0.0003478568	0.00018024337	0.00015501866	0.00007714165	0.00021780387	0.0001553343	0.00043185087	0.0002677474	0.0033873892	0.003639675	0.00068269117	0.0042295707	0.0030653619	0.008015958	0.003209781	0.0037488344	0.0054992796	0.0048052976	0.0023642299	0.13844079	0.1546652	0.14680915	0.17845382	0.18713069	0.16395238	0.18388377	0.14614813	0.000271088	0.0005851982	0.00030273682
EHA04747_bin.49	0.00064194726	0.002150856	0.0010262913	0.0011703885	0.0021520082	0.00080228155	0.003692486	0.0009680561	0.00010144737	0.0014046688	0.0003146315	0.0018624245	0.0035150382	0.0023160118	0.00010305783	0.0009092944	0.00008958312	0.00007047316	0	0.0010240718	0.0009483487	0.0045918804	0.0003178533	0.00021975473	0.001247092	0.00035558338	0.0010417603	0.0018814353	0.0018259835	0.003776533	0.006734861	0.000038932914	0.00016169577	0.006362047	0.00051638973	0.0059441593	0.0020423613	0.0009790872	0	0.00007906574	0.00009111013	0.028384501	0.00009572345	0.00012827544	0.00016722041	0.0013153979	0.3555666	0.28568658	0.24328992	0.2980462	0.380081	0.30404434	0.34729692	0.23404448	0.00060402113	0.0017564688	0.00061675895
EHA04747_bin.4	0	0	0.000006039271	0	0	0.000018545355	0	0.000001259922	0	0	0	0	0	0	0.00007116914	0	0	0	0	0	0	0	0	0.000018873974	0	0.000009122614	0	0	0	0.000014885281	0	0.0000039130473	0	0.000006969474	0.000025345733	0.0000044268336	0	0.000012096109	0	0	0	0.000009818745	0	0	0	0.000009982729	0.15789524	0.12301629	0.072697826	0.17723887	0.2723169	0.16027716	0.15631297	0.13939005	0	0	0
